code,county_fips
ABE,24025
ABQ,35001
ACA,06013
ACD,29093
ADM,40019
AKY,21019
ALB,36083
ALC,39151
ALD,54063
ALI,26025
ALN,17119
ALP,48043
ALT,42013
ALX,51510
ALY,41043
AMS,36057
ANA,06059
ARB,26161
ARD,42091
ARK,05019
ARN,06061
ASD,51085
ATL,13121
ATN,01015
AUS,48453
BAL,24510
BAM,26159
BAR,06071
BBK,06037
BCV,51059
BEL,53073
BEN,04003
BER,09003
BFD,06029
BHM,01073
BIX,28047
BKY,06001
BLF,50025
BMT,48245
BNC,37001
BNG,53039
BRA,50025
BRH,28085
BRK,23005
BRL,19057
BRP,09001
BTL,26025
BTN,50007
BUR,06037
BYN,39171
CAM,45055
CBR,48251
CBS,55021
CDL,17077
CEN,17121
CHI,17031
CHM,17019
CHS,45019
CHW,54039
CIC,06007
CIN,39061
CLA,33019
CLB,45079
CLE,39035
CLF,51005
CLP,51047
CLT,37119
CML,06111
CMO,41035
CNV,50021
COC,06031
COI,18041
COT,42029
COV,42051
COX,06061
CPN,06083
CRF,18107
CRN,19175
CRT,36119
CRV,17117
CSN,45077
CTL,53041
CUM,24001
CUT,30035
CVS,51540
CWH,42017
CWT,06037
CYN,37183
DAL,48113
DAN,51590
DAV,06113
DDG,20057
DEM,35029
DEN,08031
DER,26163
DET,26163
DFB,12011
DIL,45033
DLB,12099
DLD,12127
DLK,27005
DNC,37063
DNK,45009
DOA,26027
DOV,33017
DOW,42029
DQN,17145
DRD,26155
DRT,48465
DUN,06093
DVL,38071
DWT,17105
DYE,18089
EDM,53061
EFG,17049
EKH,18039
ELK,32007
ELP,48141
ELT,42071
ELY,39093
EMY,06001
EPH,53025
ERI,42049
ESM,30029
ESX,50007
EUG,41039
EVR,53061
EWR,34013
EXR,33015
EXT,42029
FAR,38017
FAY,37051
FBG,51630
FFV,06095
FLG,04005
FLN,26049
FLO,45041
FMD,19111
FMG,08087
FMT,06001
FNO,06019
FRA,25017
FRE,23005
FTL,12011
FTN,21075
FTW,48439
FUL,06059
GAS,37071
GBB,17095
GCK,20055
GDL,06037
GFD,25011
GFK,38035
GGW,30105
GJT,08077
GLE,48097
GLM,17075
GLN,17031
GLP,35031
GNB,42129
GNS,13139
GRA,08049
GRI,49015
GRO,37081
GRR,26081
GRV,45045
GSC,08045
GTA,06083
GUF,28047
GVB,06079
GWD,28083
HAM,37153
HAR,42043
HAS,31001
HAV,30041
HAY,06001
HAZ,28029
HBG,28035
HEM,29073
HER,49007
HFD,09003
HFY,54037
HGD,42061
HHL,25009
HIN,54089
HLD,31137
HLK,25013
HMD,22105
HMI,18089
HMW,17031
HNF,06031
HOL,12011
HOM,26139
HOP,05057
HOS,48201
HPT,37081
HUD,36021
HUN,54011
HUT,20155
IDP,29095
IND,18097
IRV,06059
JAN,28049
JAX,12031
JEF,29051
JOL,17197
JSP,13305
JST,42021
JXN,26075
KAL,26077
KAN,37025
KCY,29095
KEE,17073
KEL,53015
KFS,41035
KIN,44009
KIS,12097
KKI,17091
KNG,04015
KTR,45089
KWD,29189
LAB,42129
LAF,18157
LAJ,08089
LAK,12105
LAP,29121
LAU,28067
LAX,06037
LCH,22019
LCN,17107
LDB,35023
LEW,42087
LFT,22055
LIB,30053
LKL,12105
LMR,08099
LMY,35049
LNC,42071
LNK,31109
LNS,26065
LOD,06077
LPE,26087
LPS,06083
LRC,20045
LRK,05119
LSE,55063
LSV,35047
LVW,48183
LWA,53007
LYH,51680
MAC,17109
MAL,30071
MAT,17029
MAY,21161
MCB,28113
MCD,06047
MCG,48309
MCK,31145
MDN,09009
MDR,06039
MDT,17099
MEI,28075
MEM,47157
MET,34023
MHL,48203
MIA,12086
MID,42043
MIN,48499
MJY,42071
MKS,28119
MNG,54019
MOD,06099
MOE,01097
MOT,38101
MPK,06111
MRB,54003
MRC,04021
MSP,27123
MSS,51683
MTP,19087
MTZ,06013
MVN,05059
MVW,53057
MYS,09011
NBK,34023
NBU,26021
NCR,24033
NDL,06071
NEW,20079
NFK,51710
NFL,36063
NHT,25015
NHV,09009
NIB,22045
NLC,09011
NLS,26021
NOL,22071
NOR,40027
NPN,51700
NPV,17043
NRG,06037
NRK,10003
NRO,36119
NSF,37183
NWK,34013
NYF,36067
OAC,06001
OKC,40109
OKE,12093
OKJ,06001
OLT,06073
OMA,31055
ONA,06071
ORB,23031
ORC,41005
ORL,12095
OSB,09007
OSC,19039
OSD,06073
OTM,19179
OXN,06111
PAG,28059
PAK,12107
PAO,42029
PAR,42029
PBF,29023
PCT,17011
PDX,41051
PGH,42003
PIC,28109
PIH,37125
PIT,25003
PJC,34021
PLB,36019
PLO,17093
PNT,26125
POG,55021
POH,36031
PON,17105
POR,23005
POS,06037
POU,36027
PRB,06079
PRC,54019
PRO,49049
PSC,53021
PSN,06065
PTB,51041
PTH,26147
PUR,40087
PVD,44007
PVL,40049
QAN,51153
QCY,17001
RAT,35007
RDD,06089
RDW,27049
REN,18073
RGH,37183
RHI,36027
RIC,06013
RIV,06065
RKV,24031
RLN,06061
RMT,37127
RNK,51770
RNO,32031
ROC,36055
ROM,36065
ROY,26125
RPH,50017
RSP,36019
RSV,06061
RTL,17019
RUD,50021
RUG,38069
SAB,50011
SAC,06067
SAL,37159
SAN,06073
SAR,36091
SAS,48029
SAV,13051
SBA,06083
SBG,12055
SBY,30101
SCD,27009
SCH,22109
SDL,22103
SDY,36093
SEA,53033
SED,29159
SIM,06111
SJC,06085
SKY,39043
SLC,49035
SLM,41047
SLO,06079
SMC,48209
SMT,17031
SNA,06059
SNB,06071
SNC,06059
SND,48443
SNP,06059
SNS,06053
SOB,18141
SOL,06073
SOP,37125
SPB,45083
SPG,25013
SPI,17167
SPK,53063
SPL,27153
SPM,21089
SPT,16017
SSM,37101
STA,51790
STL,29510
STM,09001
STN,38061
STS,09009
STW,53061
SUI,06095
SVT,55101
SYR,36067
TAC,53053
TAY,48491
TCA,13257
TCL,01125
THN,54019
TOH,55081
TOL,39095
TOP,20177
TPA,12057
TPL,48027
TRE,34021
TRI,08071
TRK,06099
TRM,26125
TRU,06057
TUK,53033
TUS,04019
TXA,48037
TYR,42013
UCA,36065
VAN,53011
VEC,06111
VNC,06037
VRN,50001
VRV,06071
WAC,06029
WAH,29071
WAR,29101
WBG,51830
WDB,51153
WDL,55021
WEM,23031
WEN,53007
WFD,09009
WFH,30029
WGL,30029
WHL,36115
WIH,53039
WIL,10003
WIN,27169
WLN,37195
WLO,04017
WLY,44009
WND,09003
WNL,09003
WNN,32013
WNR,05075
WOB,25017
WOR,25027
WPB,12099
WPK,12095
WPT,30085
WRJ,50027
WSP,36031
WSS,54025
WTH,12105
WTI,18033
WTN,38105
YAZ,28163
YEM,45049
YNY,36119
YUM,04027
BAS,28045
BNL,17113
CNL,06107
LEE,29095
NBN,47045
OLW,53067
SJM,26021
BBY,25025
BFX,36029
BNF,09009
BON,25025
BOS,25025
BRO,30035
BUF,36029
BWI,24003
DHM,33017
FED,36115
FTC,36031
GAC,06085
GPK,30035
GUA,06083
LAG,17031
LEX,37057
LOR,51059
LTM,06077
MBY,50001
MKA,55079
MKE,55079
MPR,50023
NYP,36061
PHL,42101
PHN,42101
PLS,06001
RTE,25021
RVM,51760
RVR,51087
SAO,23031
SCC,06085
SFA,12117
SKN,06077
WAB,50023
WAS,11001
WIP,08049
WNM,50027
WPR,08049
SKT,06077
ABN,34001
ACY,34001
AIR,06047
AST,
ATO,34007
CLN,09007
CRH,34007
EGH,34001
GMS,
GUI,09009
HTN,34001
LBO,06047
LDW,34007
MDS,09009
MTR,
MYU,06053
NFS,
OKL,
PNK,34007
PRK,36031
RKH,37153
SCA,
SLQ,
TRC,06077
TWO,
VAC,
VAS,06001
WSB,09007
